year,epa_region,perc
2006,1,0.01493278645070654
2006,2,0.024705219910126308
2006,3,0.02303172861218344
2006,4,0.021048492912572672
2006,5,0.05605991576618153
2006,6,0.023179984403765595
2006,7,0.0484157273778866
2006,8,0.08224253098554292
2006,9,0.03949342669468632
2006,10,0.1244760032220839
2007,1,0.004053312849407862
2007,2,0.028225531743805703
2007,3,0.036209034422415666
2007,4,0.08127221562030087
2007,5,0.06447593582439017
2007,6,0.02510848346514917
2007,7,0.04966524383131216
2007,8,0.13825442340205787
2007,9,0.06509187965880822
2007,10,0.11856358241960857
2008,1,0.0014262168283701176
2008,2,0.0047472702504944685
2008,3,0.015849058160262625
2008,4,0.024383101133772223
2008,5,0.039830045005410354
2008,6,0.029668849007227754
2008,7,0.06650970021491513
2008,8,0.09667460632613517
2008,9,0.15258173618342902
2008,10,0.18713435629188058
2009,1,0.01336691135133983
2009,2,0.011192822267925591
2009,3,0.0052163986275167345
2009,4,0.022442389864038414
2009,5,0.07439083082451454
2009,6,0.03733685156300807
2009,7,0.06039137086189348
2009,8,0.053660497558522785
2009,9,0.05168534401511159
2009,10,0.05032340320280201
2010,1,0.06806252588034589
2010,2,0.06498071070476542
2010,3,0.027292918251788756
2010,4,0.03415540991746197
2010,5,0.09253447444964345
2010,6,0.04413643313249658
2010,7,0.05625949034541162
2010,8,0.0708365892180839
2010,9,0.02152901953574761
2010,10,0.08158427388538457
2011,1,0.0353821734855153
2011,2,0.036082555828984494
2011,3,0.02926109238997096
2011,4,0.10475235777390152
2011,5,0.08581506333275893
2011,6,0.2002987802921034
2011,7,0.1558108753437923
2011,8,0.11747051118532859
2011,9,0.03654904042211655
2011,10,0.0783856301455398
2012,1,0.059459795161227846
2012,2,0.06599977193314498
2012,3,0.04905797060850499
2012,4,0.06023403256643249
2012,5,0.11969200924678809
2012,6,0.18131176293246953
2012,7,0.2425156587986155
2012,8,0.34043064286172253
2012,9,0.1079121224559125
2012,10,0.3591376052202222
2013,1,0.039516032228769836
2013,2,0.03235704219696918
2013,3,0.011480630750305911
2013,4,0.03695237451981737
2013,5,0.08724186494732784
2013,6,0.09056200971582892
2013,7,0.0979451386363317
2013,8,0.15031635529228762
2013,9,0.11172688457170082
2013,10,0.196752848722966
2014,1,0.010909038156652201
2014,2,0.029625100015858368
2014,3,0.0266294679293671
2014,4,0.025291049580084445
2014,5,0.07362431943272696
2014,6,0.03328591048565903
2014,7,0.08132835315752855
2014,8,0.06440113242709883
2014,9,0.05560268200604885
2014,10,0.140728498313674
2015,1,0.0673530054620357
2015,2,0.031173916243258066
2015,3,0.0179120435620952
2015,4,0.021062413917495002
2015,5,0.09294808635859385
2015,6,0.054250979997233946
2015,7,0.100427829998325
2015,8,0.17400076494116068
2015,9,0.08602911387725885
2015,10,0.25748905048814996
2016,1,0.04383446795226996
2016,2,0.03539093247415973
2016,3,0.007310175301654366
2016,4,0.03053519118376016
2016,5,0.049501239064598204
2016,6,0.05676769223599261
2016,7,0.0831946757932056
2016,8,0.12941969294034295
2016,9,0.06339095593560239
2016,10,0.07798823807295485
2017,1,0.10139892221373782
2017,2,0.09379882091521723
2017,3,0.05088288252930769
2017,4,0.05726245985575227
2017,5,0.17967982253069606
2017,6,0.11994993551402423
2017,7,0.2330745868981656
2017,8,0.3642718540692114
2017,9,0.16171116145362852
2017,10,0.4342363073796491
2018,1,0.12219625844297521
2018,2,0.11237984710645835
2018,3,0.06684711787664263
2018,4,0.09702593873429215
2018,5,0.2171788301733709
2018,6,0.1406372385961912
2018,7,0.2716207277063795
2018,8,0.4194998750654835
2018,9,0.2875592060559656
2018,10,0.49402223385106875
