year,burned_area
1985,2896147
1986,2719162
1987,2447296
1988,5009290
1989,1827310
1990,4621621
1991,2953578
1992,2069929
1993,1797574
1994,4073579
1995,1840546
1996,6065998
1997,2856959
1998,1329704
1999,5626093
2000,7383493
2001,3570911
2002,7184712
2003,3960842
2004,8097880
2005,8689389
2006,9873745
2007,9328045
2008,5292468
2009,5921786
2010,3422724
2011,8711367
2012,9326238
2013,4319546
2014,3595613
2015,10125149
2016,5503538
2017,10026086
2018,8767492
2019,4664364
2020,6927327
