year,perc
2006,0.05220632252172791
2007,0.07449267129224416
2008,0.07433412782250967
2009,0.04597023639572401
2010,0.05687627861582146
2011,0.10835607673439594
2012,0.19282093573779008
2013,0.1028434688121569
2014,0.05966131701215767
2015,0.10415170175091888
2016,0.0694850062397462
2017,0.20898560111204223
2018,0.25844682631337973
