cbsa_name,doy,post,pre,pm25_diff,excess_mort_rate,pop,excess_mort
"Los Angeles-Long Beach-Anaheim, CA",214,14.455555555555556,12.052777777777777,2.4027777777777786,1.6338888888888896,2.662701,4.350557578333335
"Los Angeles-Long Beach-Anaheim, CA",215,13.71111111111111,12.186764705882354,1.5243464052287568,1.0365555555555546,2.662701,2.760037514333331
"Los Angeles-Long Beach-Anaheim, CA",216,15.055555555555555,11.078205128205129,3.9773504273504265,2.70459829059829,2.662701,7.201536572974359
"Los Angeles-Long Beach-Anaheim, CA",217,14.433333333333334,11.2,3.2333333333333343,2.1986666666666674,2.662701,5.854391932000002
"Los Angeles-Long Beach-Anaheim, CA",218,12.575,13.07638888888889,-0.50138888888889,-0.3409444444444452,2.662701,-0.9078331131666688
"Los Angeles-Long Beach-Anaheim, CA",219,11.7375,12.267105263157895,-0.5296052631578938,-0.3601315789473678,2.662701,-0.9589227153947353
"Los Angeles-Long Beach-Anaheim, CA",220,11.9125,12.907894736842104,-0.9953947368421048,-0.6768684210526313,2.662701,-1.8022982216052628
"Los Angeles-Long Beach-Anaheim, CA",221,13.725000000000001,13.89264705882353,-0.16764705882352793,-0.113999999999999,2.662701,-0.30354791399999737
"Los Angeles-Long Beach-Anaheim, CA",222,11.375,11.22948717948718,0.14551282051282044,0.0989487179487179,2.662701,0.2634708502307691
"Los Angeles-Long Beach-Anaheim, CA",223,11.15,11.488461538461538,-0.33846153846153726,-0.23015384615384535,2.662701,-0.6128308763076902
"Los Angeles-Long Beach-Anaheim, CA",224,10.0375,11.039473684210526,-1.001973684210526,-0.6813421052631577,2.662701,-1.8142103050263156
"Los Angeles-Long Beach-Anaheim, CA",225,10.5625,11.92051282051282,-1.3580128205128208,-0.9234487179487182,2.662701,-2.45886782473077
"Los Angeles-Long Beach-Anaheim, CA",226,10.6125,11.153947368421052,-0.5414473684210517,-0.36818421052631517,2.662701,-0.98036446555263
"Los Angeles-Long Beach-Anaheim, CA",227,17.455555555555556,11.023188405797102,6.432367149758454,4.374009661835749,2.662701,11.646679900579711
"Los Angeles-Long Beach-Anaheim, CA",228,18.033333333333335,12.169230769230769,5.864102564102566,3.9875897435897456,2.662701,10.61775919784616
"Los Angeles-Long Beach-Anaheim, CA",229,18.055555555555557,12.242682926829268,5.812872628726289,3.952753387533877,2.662701,10.525000397739843
"Los Angeles-Long Beach-Anaheim, CA",230,18.977777777777778,13.195774647887324,5.7820031298904535,3.931762128325509,2.662701,10.469106950854462
"Los Angeles-Long Beach-Anaheim, CA",231,20.48888888888889,12.968421052631578,7.520467836257312,5.113918128654973,2.662701,13.616834915087725
"Los Angeles-Long Beach-Anaheim, CA",232,19.122222222222224,12.355555555555556,6.7666666666666675,4.601333333333335,2.662701,12.251974868000005
"Los Angeles-Long Beach-Anaheim, CA",233,23.72222222222222,14.201515151515151,9.52070707070707,6.474080808080808,2.662701,17.23854144175758
"Los Angeles-Long Beach-Anaheim, CA",234,28.18888888888889,13.774666666666667,14.414222222222223,9.801671111111112,2.662701,26.098919469226672
"Los Angeles-Long Beach-Anaheim, CA",235,23.177777777777777,13.481012658227849,9.696765119549928,6.593800281293952,2.662701,17.557318602801686
"Los Angeles-Long Beach-Anaheim, CA",236,16.3,17.619402985074625,-1.3194029850746247,-0.8971940298507449,2.662701,-2.3889594404776084
"Los Angeles-Long Beach-Anaheim, CA",237,14.666666666666666,15.371830985915492,-0.7051643192488264,-0.479511737089202,2.662701,-1.2767963818591552
"Los Angeles-Long Beach-Anaheim, CA",238,11.433333333333334,15.67313432835821,-4.239800995024876,-2.8830646766169155,2.662701,-7.676739197492538
"Los Angeles-Long Beach-Anaheim, CA",239,10.411111111111111,14.02741935483871,-3.616308243727598,-2.459089605734767,2.662701,-6.54782035227957
"Los Angeles-Long Beach-Anaheim, CA",240,16.988888888888887,12.912,4.076888888888886,2.772284444444443,2.662701,7.381764562506663
"Los Angeles-Long Beach-Anaheim, CA",241,12.8,13.51125,-0.7112499999999997,-0.48364999999999986,2.662701,-1.2878153386499998
"Los Angeles-Long Beach-Anaheim, CA",242,10.777777777777779,12.805633802816901,-2.0278560250391227,-1.3789420970266035,2.662701,-3.6717105006948345
"Los Angeles-Long Beach-Anaheim, CA",243,10.733333333333334,13.411688311688312,-2.678354978354978,-1.8212813852813852,2.662701,-4.84952776587013
"Los Angeles-Long Beach-Anaheim, CA",244,11.722222222222221,14.006666666666666,-2.2844444444444445,-1.5534222222222225,2.662701,-4.1362989045333345
"Los Angeles-Long Beach-Anaheim, CA",245,11.355555555555556,13.308571428571428,-1.9530158730158718,-1.3280507936507928,2.662701,-3.53620217630476
"Los Angeles-Long Beach-Anaheim, CA",246,12.311111111111112,11.24125,1.069861111111111,0.7275055555555555,2.662701,1.9371297702833334
"Los Angeles-Long Beach-Anaheim, CA",247,17.444444444444443,10.734939759036145,6.709504685408298,4.562463186077643,2.662701,12.148475288032127
"Los Angeles-Long Beach-Anaheim, CA",248,22.344444444444445,11,11.344444444444445,7.714222222222223,2.662701,20.540667225333337
"Los Angeles-Long Beach-Anaheim, CA",249,19.655555555555555,11.487341772151899,8.168213783403656,5.554385372714487,2.662701,14.789667486312238
"Los Angeles-Long Beach-Anaheim, CA",250,17.67142857142857,13.257333333333333,4.414095238095237,3.0015847619047618,2.662701,7.992322747108572
"Los Angeles-Long Beach-Anaheim, CA",251,26.78571428571429,14.616417910447762,12.169296375266526,8.275121535181238,2.662701,22.03417438684862
