region,wf_share,rx_share
AK,0.2232214770982942,0.005769139011757055
SA,0.18643107969696301,0.7085932709282825
GB,0.14207677110322836,0.020324348396194906
NW,0.10824192728961901,0.04040093801966166
SW,0.08397060419110298,0.05893831301369742
NR,0.07518970034493169,0.025631723019122664
RM,0.059788891404089314,0.03274391957205945
NO,0.05404914694912401,0.018087097281545506
SO,0.04816728023788893,0.005886833264707805
EA,0.01886312168475848,0.08362441749297103
