jurisdiction,wf_share,rx_share
state,0.4060686037942791,0.40969096608479116
blm,0.2610432500692823,0.038830466061303734
fs,0.21488932983632503,0.40194460641373914
fws,0.05882494852769976,0.08413620225672562
bia,0.0410802812222858,0.0295638720021097
nps,0.01809358655012799,0.03583388718133062
